# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       1.328      386.000      360.977   804519.633
       1.333        0.000      214.703   535867.703
       1.338      392.300      218.688   535867.703
       1.343      209.400      218.688   535867.703
       1.348        0.000      226.016   535882.547
       1.353      191.900      236.645   802852.844
       1.358        0.000      236.770   802852.848
       1.362        0.000      238.348   802936.945
       1.366      283.100      241.543   802939.891
       1.370        0.000      243.938   802971.707
       1.373      295.300      247.125   802974.988
       1.377      296.500      252.707   802979.352
       1.380        0.000      254.016   802979.816
       1.383        0.000      254.879   802979.914
       1.387      297.300      256.355   802981.020
       1.390        0.000      257.547   802981.020
       1.393        0.000      258.344   802982.289
       1.397      290.500      258.348   802981.746
       1.400        0.000      259.758   802982.488
       1.404        0.000      261.340   802983.625
       1.407      278.400      262.504   802984.422
       1.411        0.000      264.543   802985.309
       1.414        0.000      265.984   802986.281
       1.417        0.000      266.484   802986.277
       1.421      293.500      267.445   803066.418
       1.424        0.000      267.695   803066.418
       1.428      260.100      269.676   803291.840
       1.431      189.600      270.730   803531.902
       1.437        0.000      271.414   803531.902
       1.440      182.100      275.555   803540.734
       1.446      545.000      279.914   803702.477
       1.451      163.400      283.180   803784.812
       1.457      179.500      288.988   803879.137
       1.463      326.300      290.504   803880.082
       1.469      313.900      292.027   803880.188
       1.475      158.900      294.926   803882.293
       1.482      461.800      296.168   803882.285
       1.488      216.200      296.418   803882.297
       1.493      189.800      297.773   803882.902
       1.498      368.100      298.410   803962.934
       1.503      178.900      299.344   803962.941
       1.509      319.700      300.887   803962.941
       1.515      485.400      301.945   803962.938
       1.522      175.400      302.254   803963.020
       1.527      146.800      303.883   804043.500
       1.534      151.900      304.523   804043.488
       1.541      150.700      305.398   804043.508
       1.547      365.800      305.898   804043.512
       1.553      161.400      307.195   804043.656
       1.559      302.900      308.254   804043.660
       1.565      306.800      309.883   804045.375
       1.572      155.000      310.648   804045.379
       1.578      217.100      311.898   804045.383
       1.583        0.000      312.273   804045.375
       1.586      198.600      314.184   804125.438
       1.592        0.000      314.707   804125.438
       1.595      292.700      315.207   804125.438
       1.599        0.000      315.492   804125.441
       1.602      290.100      316.836   804126.539
       1.605        0.000      317.074   804126.539
       1.609      293.700      317.199   804126.543
       1.612      219.900      317.324   804126.543
       1.617      199.800      318.320   804126.746
       1.622        0.000      318.996   804126.855
       1.625      292.700      319.391   804126.859
       1.629      296.200      319.891   804126.855
       1.632        0.000      320.266   804126.855
       1.635      290.100      320.641   804126.855
       1.639      295.400      320.641   804126.855
       1.642        0.000      320.891   804126.852
       1.646      296.000      321.141   804126.852
       1.649      294.600      321.266   804126.852
       1.653        0.000      321.391   804126.855
