# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
      27.350      141.700     1239.672  1612047.289
      27.357      423.700     1239.797  1612047.297
      27.365      436.300     1239.797  1612047.293
      27.371      117.400     1240.176  1612031.258
      27.380      117.700     1241.176  1612047.262
      27.389      447.300     1241.926  1612191.297
      27.395      153.500     1242.238  1612191.297
      27.402      400.300     1242.738  1612191.301
      27.409      287.900     1242.863  1612191.305
      27.416      150.000     1242.863  1612191.297
      27.423      420.900     1242.988  1612207.301
      27.430      324.900     1245.781  1612351.332
      27.436      403.700     1246.031  1612351.324
      27.446      271.500     1246.156  1612351.316
      27.453      152.700     1246.281  1612351.316
      27.460      555.800     1246.281  1612351.312
      27.465      178.000     1246.406  1612351.324
      27.471      189.300     1246.531  1612351.320
      27.476      542.100     1247.418  1612351.320
      27.482        0.000     1249.043  1612351.324
      27.487      446.200     1249.793  1612351.324
      27.494      161.800     1249.918  1612351.324
      27.500      508.400     1250.043  1612351.316
      27.506        0.000     1250.168  1612351.316
      27.511      366.400     1250.293  1612351.316
      27.517      182.700     1250.418  1612351.320
      27.522      182.700     1250.543  1612351.324
      27.528      340.200     1250.543  1612351.320
      27.534        0.000     1247.316  1612351.336
      27.539      246.800     1247.316  1612351.336
      27.543        0.000     1247.316  1612351.336
      27.547        0.000     1247.316  1612351.324
      27.551      254.200     1247.316  1612351.324
      27.555        0.000     1247.316  1612351.324
      27.559      203.900     1247.316  1612351.324
      27.564        0.000     1247.316  1612351.324
      27.568        0.000     1247.316  1612351.324
      27.572      252.000     1247.316  1612351.324
      27.576        0.000     1247.316  1612351.320
      27.583      287.700     1247.473  1612351.328
      27.590      144.000     1247.598  1612351.328
      27.597      306.100     1247.598  1612351.328
      27.603      140.300     1247.598  1612351.344
      27.610      143.800     1247.598  1612351.348
      27.617      454.100     1247.598  1612351.352
      27.624      145.800     1247.598  1612351.352
      27.631      285.400     1247.723  1612351.340
      27.638      234.100     1247.723  1612351.340
      27.646      143.200     1247.723  1612351.348
      27.653      274.700     1247.723  1612351.336
      27.661      161.500     1247.848  1612351.340
      27.667      338.700     1247.973  1612351.340
      27.673      269.700     1248.098  1612351.324
      27.685      225.200     1248.355  1612351.348
      27.702      277.600     1248.605  1612351.348
      27.728      139.400     1248.730  1612351.355
      27.741      260.800     1248.730  1612351.363
      27.757      309.900     1248.855  1612351.367
      27.774      301.400     1248.980  1612351.367
      27.784      283.600     1248.980  1612351.359
      27.803      378.000     1249.355  1612351.359
      27.815      134.400     1249.355  1612351.355
      27.823      259.100     1249.355  1612351.359
      27.830      275.800     1249.355  1612351.367
      27.838      269.000     1249.480  1612351.355
      27.845      131.600     1249.855  1612351.355
      27.853      435.400     1250.230  1612351.352
      27.860        0.000     1250.480  1612351.359
      27.867      332.600     1251.980  1612351.371
      27.873      147.500     1252.230  1612335.352
      27.879      301.200     1252.355  1612335.340
      27.886      142.800     1252.355  1612335.332
      27.893      576.400     1252.355  1612335.328
      27.900        0.000     1252.355  1612335.324
      27.907      284.100     1252.480  1612335.324
      27.914      418.400     1252.480  1612335.324
      27.921      287.500     1252.605  1612335.324
      27.928      295.600     1252.605  1612335.324
      27.935      130.800     1252.855  1612335.328
      27.943      468.700     1253.391  1612335.906
      27.949      312.400     1254.230  1612336.352
      27.956      388.400     1254.355  1612336.340
      27.981      374.200     1254.480  1612336.340
      27.989      137.900     1255.230  1612337.805
      27.997      414.700     1252.977  1612336.344
      28.004      277.800     1253.102  1612336.348
      28.011      270.800     1253.227  1612336.336
      28.018      275.400     1253.227  1612336.340
      28.026      424.400     1253.602  1612336.344
