"col0","col1","col2"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryBreadcrumbViewComponent.Invoke","SimplCommerce.Infrastructure.Web.ViewComponentExtensions.GetViewPath","Microsoft.AspNetCore.Http.IRequestCookieCollection.TryGetValue"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryBreadcrumbViewComponent.Invoke","SimplCommerce.Infrastructure.Web.ViewComponentExtensions.GetViewPath","Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions.GetService<IConfiguration>"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryBreadcrumbViewComponent.Invoke","SimplCommerce.Infrastructure.Web.ViewComponentExtensions.GetViewPath","System.Reflection.Assembly.GetName"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryBreadcrumbViewComponent.Invoke","SimplCommerce.Infrastructure.Web.ViewComponentExtensions.GetViewPath","System.Linq.Enumerable.Last<String>"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryBreadcrumbViewComponent.Invoke","SimplCommerce.Infrastructure.Web.ViewComponentExtensions.GetViewPath","Microsoft.Extensions.DependencyInjection.ServiceProviderServiceExtensions.GetRequiredService<ICompositeViewEngine>"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryBreadcrumbViewComponent.Invoke","SimplCommerce.Module.Localization.Services.ContentLocalizationService.GetLocalizedPropertiesFromDb","System.Linq.Queryable.Where<LocalizedContentProperty>"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryBreadcrumbViewComponent.Invoke","SimplCommerce.Module.Localization.Services.ContentLocalizationService.GetLocalizedPropertiesFromDb","SimplCommerce.Infrastructure.Data.IRepositoryWithTypedId<SimplCommerce.Infrastructure.Localization.LocalizedContentProperty,System.Int64>.Query"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryBreadcrumbViewComponent.Invoke","SimplCommerce.Module.Localization.Services.ContentLocalizationService.GetLocalizedPropertiesFromDb","System.Linq.Enumerable.ToList<LocalizedContentProperty>"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryBreadcrumbViewComponent.Invoke","SimplCommerce.Module.Localization.Services.ContentLocalizationService.GetLocalizedProperty","System.TimeSpan.FromSeconds"
"SimplCommerce.Module.Catalog.Areas.Catalog.Components.CategoryBreadcrumbViewComponent.Invoke","SimplCommerce.Module.Localization.Services.ContentLocalizationService.GetLocalizedProperty","Microsoft.Extensions.Caching.Memory.MemoryCacheEntryExtensions.SetAbsoluteExpiration"
