# Elapsed time   CPU (%)     Real (MB)   Virtual (MB)
       0.820      605.900      292.969  1071755.473
       0.827      152.300      295.535  1071859.184
       0.833      324.200      302.883  1072094.238
       0.846      235.400      307.160  1072095.801
       0.858      553.200      313.488  1072264.199
       0.875      150.700      315.805  1072264.215
       0.881      305.800      317.188  1072264.215
       0.888      427.000      318.375  1072264.215
       0.895      299.300      320.223  1072264.207
       0.902        0.000      321.848  1072264.215
       0.908      374.200      322.848  1072264.215
       0.913      320.000      324.598  1072264.219
       0.919      148.500      326.473  1072264.242
       0.926      302.400      329.254  1072265.051
       0.933      295.000      330.340  1072265.043
       0.939      364.000      330.840  1072265.051
       0.945        0.000      330.840  1072265.051
       0.948        0.000      330.840  1072265.051
       0.952      290.400      330.840  1072265.051
       0.955        0.000      334.855  1072265.051
       0.959      315.400      335.602  1072264.262
       0.965      158.700      337.102  1072264.266
       0.972      475.400      337.852  1072264.262
       0.978      161.900      338.852  1072264.289
       0.984      507.400      340.430  1072264.676
       0.990      156.300      341.723  1072264.676
       0.996      439.100      343.098  1072264.676
       1.003      442.000      344.484  1072265.375
       1.010      299.800      346.152  1072265.484
       1.017      153.300      347.527  1072265.480
       1.023      650.900      348.902  1072265.480
       1.029        0.000      350.277  1072265.543
       1.035      165.600      351.402  1072265.543
       1.041      169.100      353.039  1072266.246
       1.047      704.400      354.039  1072266.242
       1.058      260.600      358.930  1072266.359
       1.070      310.100      364.316  1072267.062
       1.083      389.400      369.410  1072267.180
       1.096      142.900      371.160  1072267.180
       1.103      287.000      373.160  1072267.305
       1.110      445.100      375.410  1072347.316
       1.119      330.300      382.992  1072346.531
       1.134      236.900      385.742  1072346.531
       1.146      689.300      387.949  1072346.547
       1.158       94.800      388.324  1072346.543
       1.168      357.800      392.836  1072346.543
       1.177      352.000      392.230  1072345.770
       1.183      150.800      392.605  1072345.766
       1.189      476.600      393.355  1072345.770
       1.196      249.600      393.980  1072345.762
       1.211      312.300      395.520  1072345.812
       1.220      229.900      398.176  1072345.809
       1.233      582.800      399.051  1072345.820
       1.249      320.700      399.551  1072345.832
       1.261      385.900      401.129  1072345.855
       1.274      322.900      403.027  1072345.859
       1.291      310.500      406.996  1072345.078
       1.303      330.400      407.246  1072505.125
       1.312      290.900      407.621  1072505.125
       1.319      297.400      407.996  1072505.125
       1.325      154.300      408.621  1072505.125
       1.332      447.200      409.121  1072521.125
       1.339      309.900      409.871  1072665.164
       1.345      158.100      410.246  1072665.172
       1.351      437.500      410.496  1072665.156
       1.358      146.500      410.621  1072665.164
       1.365      299.700      410.871  1072665.172
       1.371      297.200      410.996  1072665.160
       1.378      297.700      411.121  1072665.160
       1.385      613.400      411.371  1072665.160
       1.391      289.300      411.871  1072665.160
       1.398      151.900      412.121  1072665.168
       1.405      461.100      412.371  1072665.164
       1.411      319.000      413.246  1072665.168
       1.418      326.400      413.746  1072665.168
       1.424      147.600      414.621  1072665.172
       1.431      370.600      416.121  1072665.160
       1.439      159.900      417.496  1072665.160
       1.445      313.100      418.996  1072665.160
       1.451      161.000      420.371  1072665.160
       1.457      181.400      420.996  1072665.160
       1.463      180.300      421.496  1072665.160
       1.468      907.900      422.246  1072665.160
       1.474      211.000      423.246  1072665.160
       1.479      197.500      424.121  1072665.160
       1.484      327.500      424.746  1072665.160
       1.490        0.000      425.121  1072665.160
       1.496      416.800      426.121  1072665.156
       1.503      313.600      427.246  1072665.156
       1.509      140.600      428.250  1072665.152
       1.516      317.500      428.750  1072665.152
       1.523      181.900      429.125  1072665.152
       1.528      505.300      429.875  1072665.152
       1.534      165.600      430.625  1072665.152
       1.540      336.800      431.500  1072665.152
       1.546      318.300      432.250  1072665.152
       1.552      226.100      433.625  1072665.152
       1.561      302.800      434.375  1072665.152
       1.568      416.100      436.625  1072665.152
       1.580      357.900      441.637  1072665.152
       1.591      367.500      442.262  1072665.156
       1.607      301.300      442.387  1072665.152
       1.617      180.000      446.926  1072665.156
       1.623      760.500      451.246  1072665.152
       1.628      258.600      452.145  1072665.156
       1.636      167.000      452.402  1072665.160
       1.642      152.000      452.824  1072665.156
       1.648      154.100      452.824  1072665.156
       1.655      677.400      452.824  1072665.156
       1.662      295.400      453.074  1072665.156
       1.669      136.900      453.824  1072665.156
       1.676      300.300      454.449  1072665.156
       1.683      438.900      454.699  1072665.160
       1.690      294.200      454.824  1072665.160
       1.697      191.000      454.949  1072665.160
       1.707      331.400      455.574  1072665.160
       1.722      382.500      456.199  1072665.160
       1.738      363.200      456.324  1072665.156
       1.746      296.100      456.824  1072665.156
       1.753      293.300      457.199  1072665.156
       1.760      445.900      457.449  1072665.156
       1.766        0.000      457.574  1072665.160
       1.773      318.300      457.574  1072665.156
       1.779      275.200      457.574  1072665.219
       1.788      445.700      457.574  1072665.219
       1.793      392.000      457.574  1072665.219
       1.798      369.700      457.574  1072665.219
       1.804      190.600      457.574  1072665.219
       1.809      175.500      457.574  1072665.219
       1.815      450.800      457.574  1072665.219
       1.824      403.500      457.699  1072665.215
       1.836      305.800      457.824  1072665.219
       1.852      197.100      457.824  1072665.215
       1.863      504.000      457.949  1072665.215
       1.870      333.200      458.074  1072665.219
       1.883      343.400      458.074  1072665.219
       1.888      182.200      458.074  1072665.219
       1.894      318.600      459.141  1072665.215
       1.906      374.700      459.742  1072665.215
       1.917      296.800      459.992  1072665.219
       1.927      523.200      459.992  1072665.223
       1.939      255.700      460.117  1072665.223
       1.950      359.600      460.367  1072665.219
       1.961      347.800      460.492  1072665.223
       1.973      277.900      460.617  1072665.223
       1.984      313.400      460.617  1072665.223
       1.990      347.300      460.617  1072665.223
       1.996      185.300      460.617  1072665.223
       2.001      182.700      460.617  1072665.223
       2.007      583.400      460.742  1072665.219
       2.015      369.500      460.992  1072665.215
       2.026      413.700      461.117  1072665.223
       2.036      354.400      461.242  1072665.230
       2.047      343.900      461.367  1072665.230
       2.059      150.600      461.367  1072665.230
       2.066      488.100      461.367  1072665.230
       2.072      221.900      461.492  1072665.230
       2.081      545.800      461.492  1072665.230
       2.088        0.000      461.617  1072665.230
       2.094      677.000      461.617  1072665.230
       2.100        0.000      461.617  1072665.230
       2.106      315.300      461.617  1072665.230
       2.112      467.000      461.617  1072665.230
       2.119      148.300      461.617  1072665.230
       2.125      304.900      461.617  1072665.230
       2.132      281.400      461.617  1072665.230
       2.139      142.300      461.617  1072665.223
       2.146      286.400      461.617  1072665.227
       2.153      423.900      461.617  1072665.227
       2.160      404.900      461.617  1072665.227
       2.168      143.100      461.617  1072665.230
       2.175      413.000      461.742  1072665.223
       2.189      295.700      461.742  1072665.223
       2.199      424.700      461.742  1072665.223
       2.207      171.400      461.742  1072665.223
       2.212      641.800      461.742  1072665.227
       2.219      136.200      461.742  1072665.227
       2.226      377.100      461.742  1072665.230
       2.231      187.100      461.867  1072665.230
       2.237      296.000      461.992  1072665.230
       2.247      314.800      461.992  1072665.230
       2.253      464.800      461.992  1072665.230
       2.260      312.700      462.117  1072665.230
       2.266        0.000      462.242  1072745.250
       2.272      559.700      462.492  1072745.250
       2.277      176.800      462.992  1072745.250
       2.283      330.600      463.367  1072745.246
       2.289      163.000      463.617  1072745.250
       2.295      575.100      464.117  1072745.250
       2.300        0.000      464.617  1072745.250
       2.306      437.000      465.492  1072745.250
       2.315      416.800      465.992  1072745.250
       2.325      151.100      463.906  1072745.250
       2.331      330.400      464.781  1072745.242
       2.347      138.700      465.281  1072745.242
       2.354      479.500      465.781  1072745.246
       2.360      379.300      466.531  1072745.246
       2.372      471.800      467.039  1072745.246
       2.384      234.600      467.289  1072745.246
       2.390      378.000      468.039  1072745.234
       2.403      399.000      468.414  1072745.242
       2.428      309.700      469.039  1072745.242
       2.438      293.500      469.789  1072745.242
       2.455      296.600      470.664  1072745.246
       2.465      147.300      471.289  1072745.246
       2.472      451.300      471.664  1072745.246
       2.479      293.100      471.789  1072745.246
       2.485      151.700      471.914  1072745.246
       2.492      307.800      471.914  1072745.246
       2.499      449.700      472.289  1072745.246
       2.512      312.200      472.289  1072745.246
       2.518      312.300      472.414  1072745.246
       2.525      387.900      472.539  1072745.246
       2.533      266.800      472.914  1072745.246
       2.543      316.400      473.039  1072745.246
       2.550      163.100      473.164  1072745.246
       2.556      356.400      473.164  1072745.246
       2.561        0.000      473.289  1072745.246
       2.567      381.800      473.414  1072745.246
       2.572      761.100      473.414  1072745.246
       2.577      289.500      473.414  1072745.246
       2.588      170.600      473.414  1072745.246
       2.594      164.600      473.664  1072745.246
       2.600        0.000      473.664  1072745.246
       2.606      191.900      473.664  1072745.246
       2.611        0.000      473.664  1072745.246
       2.615      378.500      473.664  1072745.246
       2.620        0.000      473.664  1072745.246
       2.625        0.000      473.664  1072745.242
       2.631      233.100      473.664  1072745.242
       2.635      203.400      473.789  1072825.262
       2.640        0.000      473.789  1072825.262
       2.646      302.500      474.164  1072825.266
       2.652      163.600      474.414  1072825.250
       2.659      331.200      475.570  1072827.715
       2.665      645.700      479.027  1072832.629
       2.671      225.500      480.055  1072896.898
       2.680      411.100      480.430  1072977.176
       2.689      389.000      481.738  1073585.574
       2.713      289.200      482.113  1073665.586
       2.723      309.900      482.238  1073665.594
       2.729      164.700      482.238  1073665.605
       2.735      292.500      482.363  1073905.656
       2.742      337.800      482.613  1073985.680
       2.748      508.500      482.738  1073985.684
       2.754      135.700      483.113  1073985.684
       2.761      162.400      483.363  1073985.684
       2.768      377.500      483.488  1073985.684
       2.775      307.900      483.738  1073985.684
       2.782      392.600      484.238  1073985.684
       2.790      323.400      484.613  1073985.684
       2.796      167.300      484.863  1073985.684
       2.802      161.600      485.488  1073985.684
       2.808      599.100      485.613  1073985.684
       2.813      177.600      486.113  1073985.684
       2.818      299.600      486.988  1073985.684
       2.825        0.000      487.613  1073985.684
       2.830      197.200      487.863  1073985.684
       2.835      191.600      488.613  1073985.684
       2.840      195.400      488.738  1073985.684
       2.846        0.000      488.863  1073985.684
       2.851      230.100      488.863  1073985.684
       2.855      265.600      489.363  1073985.684
       2.859        0.000      489.613  1073985.684
       2.862        0.000      489.613  1073985.680
       2.866      497.900      489.613  1073985.684
       2.870      150.300      489.988  1073985.684
       2.877      148.800      490.113  1073985.680
       2.883      566.200      490.238  1073985.680
       2.889      168.000      492.930  1073988.500
       2.895      263.700      495.113  1073991.324
       2.902      458.100      496.141  1073991.332
       2.909        0.000      496.324  1073991.348
       2.916      442.600      496.574  1073991.340
       2.922      469.700      497.008  1073991.332
       2.929      300.800      497.438  1073991.340
       2.935      314.900      497.562  1073991.336
       2.942      310.700      498.379  1073991.430
       2.948      145.700      498.504  1073991.438
       2.955      298.100      499.727  1073991.965
       2.962      300.700      500.160  1073991.965
       2.968      304.100      502.762  1073994.645
       2.975      452.600      504.047  1073995.086
       2.982        0.000      510.102  1074003.559
       2.987      302.100      510.852  1074003.559
       2.994      148.200      511.242  1074003.555
       3.001      607.400      512.500  1074003.758
       3.007      150.100      517.039  1074009.137
       3.014      150.500      517.945  1074009.555
       3.021      681.700      526.949  1074021.207
       3.027      150.000      531.797  1074026.941
       3.033      444.900      532.047  1074026.941
       3.040      396.200      532.422  1074026.949
       3.050      401.500      532.422  1074026.953
       3.060      138.500      532.422  1074026.961
       3.067      279.200      532.422  1074026.953
       3.074      456.800      532.672  1074026.945
       3.083        0.000      532.672  1074026.938
       3.090      471.800      532.797  1074026.941
       3.096      136.200      532.797  1074026.945
       3.104      309.200      532.797  1074026.945
       3.110      159.900      532.922  1074106.965
       3.117      423.200      532.922  1074106.965
       3.124      302.500      532.922  1074106.965
       3.130      155.100      533.047  1074106.965
       3.137      470.600      533.047  1074106.965
       3.143      272.600      533.047  1074106.965
       3.150      287.100      531.996  1074106.965
       3.157      425.500      531.996  1074106.965
       3.164      261.900      531.996  1074106.965
       3.172      657.000      531.996  1074106.965
       3.180        0.000      531.996  1074106.965
       3.186      266.700      531.996  1074106.965
       3.194      291.300      531.996  1074106.957
       3.201      292.600      531.996  1074106.961
       3.207      372.600      532.246  1074106.957
       3.213      282.100      532.246  1074106.961
       3.216      288.900      532.246  1074106.957
       3.220        0.000      532.246  1074106.957
       3.223        0.000      532.246  1074106.957
       3.227      208.400      532.371  1074106.957
       3.231      348.000      532.496  1074106.961
       3.246      435.700      536.660  1074114.734
       3.255      137.300      533.109  1074114.738
       3.263      288.700      533.578  1074114.742
       3.269      135.200      533.578  1074194.762
       3.277      515.600      533.828  1074194.758
       3.285      449.500      534.203  1074194.758
       3.294        0.000      534.828  1074194.758
       3.301      447.200      535.078  1074194.758
       3.307      150.700      534.016  1074194.762
       3.314      586.600      534.016  1074194.758
       3.319        0.000      534.016  1074194.758
